Dataset,Model,syncronization,hyperparameter,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms),GPU_Memory(MB),,,,
cifar10,resnet110,async,usefp16,2,52.0466,226.9362,277.7261,16.32844444,288.1872,34420,386.9375,,,,
cifar10,resnet110,async,winograd,1,42.2729,194.3015,253.4355,8.227,258.7654,62905,0,,,,
cifar10,resnet110,async,winograd,2,51.6959,200.5096,264.943,10.143,271.6583,62836,0,,,,
cifar10,resnet110,async,xla,1,44.8367,199.3149,258.7328,9.696444444,265.1153,62992,0,,,,
cifar10,resnet110,async,xla,2,48.6395,195.2852,250.2738,12.27966667,258.6359,62751,0,,,,
cifar10,resnet110,sync,batch128,1,49.9018,234.153,275.8047,35.17011111,306.3231,64683,2757,,,,
cifar10,resnet110,sync,batch128,2,46.9165,190.6453,253.7666,54.27622222,270.6809,64297,2756.9375,,,,
cifar10,resnet110,sync,batch256,1,57.4927,241.516,280.0354,41.82533333,317.6116,64813,387,,,,
cifar10,resnet110,sync,batch256,2,62.7044,207.1087,240.1802,79.62266667,280.6634,65174,386.9375,,,,
cifar10,resnet110,sync,batch32,1,54.1829,232.839,277.404,35.14311111,307.6065,64391,387,,,,
cifar10,resnet110,sync,batch32,2,48.9516,213.4956,279.0037,30.19888889,282.8355,64108,386.9375,,,,
cifar10,resnet110,sync,batch512,1,47.4606,302.7599,276.6379,99.48633333,380.306,66597,9095,,,,
cifar10,resnet110,sync,batch512,2,53.8957,311.8404,276.6744,108.1468889,378.4202,66642,402.9375,,,,
cifar10,resnet110,sync,batch64,1,55.2182,234.3556,266.8998,37.54344444,299.7287,64388,0,,,,
cifar10,resnet110,sync,batch64,2,66.0999,195.3275,272.3257,29.88288889,285.8744,64319,0,,,,
cifar10,resnet110,sync,dataFormat,1,58.487,219.5797,265.6107,44.28222222,302.9257,33826,1701,,,,
cifar10,resnet110,sync,dataFormat,2,54.0122,198.5941,270.4563,38.24555556,281.7825,33819,1700.9375,,,,
cifar10,resnet110,sync,optMomentum,1,57.5169,270.8976,268.2201,30.76166667,294.7518,69685,1701,,,,
cifar10,resnet110,sync,optMomentum,2,64.2244,237.2844,249.4293,48.71211111,267.599,69630,1668.9375,,,,
cifar10,resnet110,sync,optRmsprop,1,49.5945,273.6534,240.7378,53.38788889,290.9203,75067,1701,,,,
cifar10,resnet110,sync,optRmsprop,2,49.1287,263.2482,278.3799,16.60233333,282.8439,74660,1700.9375,,,,
cifar10,resnet110,sync,usefp16,1,51.8913,214.7221,279.5243,33.72911111,317.6661,66369,387,,,,
cifar10,resnet110,sync,usefp16,2,60.3933,222.4953,280.8098,41.91711111,305.759,65949,386.9375,,,,
cifar10,resnet110,sync,winograd,1,46.1886,214.8895,242.4175,44.42533333,281.7162,64270,1669,,,,
cifar10,resnet110,sync,winograd,2,53.069,197.6923,259.595,23.63766667,267.9013,64207,1668.9375,,,,
cifar10,resnet110,sync,xla,1,53.6128,217.2948,271.2763,30.333,295.8296,64441,387,,,,
cifar10,resnet110,sync,xla,2,43.6865,195.9135,257.4988,42.32344444,269.6278,64336,386.9375,,,,
cifar10,resnet110v2,async,batch128,1,39.2256,215.5632,257.0487,11.07422222,265.1158,62081,387,,,,
cifar10,resnet110v2,async,batch128,2,44.7002,199.1877,232.78,24.28088889,252.2361,62020,386.9375,,,,
cifar10,resnet110v2,async,batch256,1,49.9498,213.9247,240.1777,32.29855556,269.4282,62156,387,,,,
cifar10,resnet110v2,async,batch256,2,36.2371,225.7494,239.1745,42.17266667,275.9958,62142,386.9375,,,,
cifar10,resnet110v2,async,batch32,1,47.8126,210.0294,254.8022,8.476777778,260.1731,60946,1157,,,,
cifar10,resnet110v2,async,batch32,2,43.0603,191.1084,231.1511,11.17488889,236.6459,60889,1156.9375,,,,
cifar10,resnet110v2,async,batch512,1,39.508,287.3849,255.7478,86.04166667,342.1412,64462,9095,,,,
cifar10,resnet110v2,async,batch512,2,38.0546,327.1273,233.5224,155.2906667,377.1649,64086,9094.9375,,,,
cifar10,resnet110v2,async,batch64,1,43.9416,185.4008,239.5348,6.405777778,243.708,61430,389,,,,
cifar10,resnet110v2,async,batch64,2,48.0687,211.6444,252.864,14.50955556,263.1284,61279,388.9375,,,,
cifar10,resnet110v2,async,dataFormat,1,54.036,201.2843,242.8003,9.835666667,248.7909,61260,1701,,,,
cifar10,resnet110v2,async,dataFormat,2,49.2655,180.5867,221.5478,17.12466667,234.5014,60855,1700.9375,,,,
cifar10,resnet110v2,async,optMomentum,1,40.8397,203.7729,209.2876,7.251333333,213.7771,35910,0,,,,
cifar10,resnet110v2,async,optMomentum,2,60.5783,223.4578,224.4483,19.31733333,236.2136,35909,0,,,,
cifar10,resnet110v2,async,optRmsprop,1,43.5186,226.9088,237.3507,7.183,241.0606,39950,387,,,,
cifar10,resnet110v2,async,optRmsprop,2,46.2647,256.3851,262.0368,11.947,269.1811,39898,386.9375,,,,
cifar10,resnet110v2,async,usefp16,1,39.1377,217.3868,257.0729,6.393777778,261.3869,33359,1189,,,,
cifar10,resnet110v2,async,usefp16,2,50.2584,232.3817,282.0036,13.58488889,291.6654,33300,610.9375,,,,
cifar10,resnet110v2,async,winograd,1,43.7509,171.1992,228.5806,6.89,233.0319,60982,1701,,,,
cifar10,resnet110v2,async,winograd,2,43.2178,181.4159,217.5506,17.47244444,228.7668,60980,1700.9375,,,,
cifar10,resnet110v2,async,xla,1,35.417,190.1894,233.9919,9.042666667,240.9832,61847,0,,,,
cifar10,resnet110v2,async,xla,2,42.6474,173.2739,219.65,9.734888889,223.8581,61845,0,,,,
cifar10,resnet110v2,sync,batch128,1,50.9851,196.6161,217.5708,43.69244444,254.8968,32007,387,,,,
cifar10,resnet110v2,sync,batch128,2,50.0424,189.9657,241.1119,11.49155556,245.6,31443,386.9375,,,,
cifar10,resnet110v2,sync,batch256,1,38.007,248.8034,225.8308,77.48222222,300.8135,63471,4871,,,,
cifar10,resnet110v2,sync,batch256,2,41.8545,240.6141,261.6185,43.55044444,295.992,63419,406.9375,,,,
cifar10,resnet110v2,sync,batch32,1,48.8142,214.176,246.1912,32.01144444,279.112,32164,1157,,,,
